ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_Rating,Cost_of_the_Product,Prior_purchases,Order_Priority,Gender,Discount,Weight_in_grams,Arrived_on_schedule,Order_Date,Time
2928,F,Ship,2,3,164,2,medium,Male,64,1689,1,22-11-2022,0:07:15
2929,D,Ship,5,3,114,6,medium,Female,60,1746,1,01-03-2022,13:01:47
2930,F,Ship,6,5,213,6,low,Male,7,2709,1,30-11-2022,1:51:30
2931,A,Ship,4,4,255,3,medium,Female,60,2777,1,19-07-2022,20:19:17
2932,B,Ship,3,3,135,3,medium,Female,28,1329,1,09-06-2022,19:19:32
2933,C,Ship,3,2,155,3,medium,Female,7,1434,1,18-09-2022,20:58:40
2934,F,Ship,6,3,273,4,medium,Female,32,2532,1,19-12-2022,21:26:45
2935,D,Ship,4,3,135,3,low,Female,15,1008,1,19-10-2022,17:33:51
2936,F,Ship,4,4,170,3,low,Male,29,1188,1,06-08-2022,17:11:21
2937,A,Ship,6,4,138,5,medium,Female,15,1181,1,15-08-2022,11:59:37
2938,B,Ship,3,2,213,4,low,Male,53,3502,1,21-05-2022,11:39:30
2939,C,Ship,4,5,156,5,high,Female,55,1619,1,20-12-2022,9:25:27
2940,F,Ship,3,1,139,2,low,Male,47,1241,1,16-02-2022,12:40:49
2941,D,Ship,3,1,263,3,medium,Male,6,2715,1,13-11-2022,9:39:23
2942,F,Ship,2,3,160,4,low,Female,53,1850,1,09-04-2022,13:00:58
2943,A,Ship,3,3,148,2,low,Male,39,1402,1,04-01-2022,15:47:48
2944,B,Ship,4,3,259,3,high,Male,45,3761,1,19-12-2022,17:06:25
2945,C,Ship,5,4,273,3,low,Female,60,3384,1,04-10-2022,12:43:30
2946,F,Ship,3,2,212,3,medium,Female,9,2521,1,14-12-2022,20:31:40
2947,D,Ship,3,5,144,6,low,Female,46,1110,1,10-04-2022,12:30:18
2948,F,Ship,2,2,193,3,medium,Male,64,2867,1,16-12-2022,21:34:22
2949,A,Ship,5,2,198,3,low,Female,44,3706,1,02-04-2022,18:46:17
2950,B,Ship,3,5,207,4,low,Female,45,3770,1,20-04-2022,13:05:07
2951,C,Ship,6,1,236,4,low,Female,10,2030,1,13-03-2022,11:49:03
2952,F,Ship,4,2,165,3,low,Male,7,1702,1,27-04-2022,0:58:20
2953,D,Ship,3,3,162,3,low,Male,3,1693,1,05-08-2022,11:58:04
2954,F,Ship,4,2,184,3,low,Female,63,3609,1,23-09-2022,10:56:50
2955,A,Ship,5,5,145,2,medium,Male,48,1834,1,17-12-2022,13:39:39
2956,B,Ship,3,3,228,2,medium,Male,27,3473,1,30-06-2022,10:09:09
2957,C,Ship,5,5,213,2,high,Male,12,2522,1,08-07-2022,22:01:30
2958,F,Ship,2,2,146,3,medium,Female,1,1162,1,16-10-2022,18:30:30
2959,D,Ship,4,2,220,3,high,Female,39,2459,1,08-05-2022,12:20:41
2960,F,Ship,3,4,231,3,medium,Female,49,3441,1,02-11-2022,16:24:47
2961,A,Ship,3,4,212,8,low,Female,56,3337,1,22-06-2022,11:39:08
2962,B,Ship,4,3,202,3,low,Female,48,2213,1,19-09-2022,9:43:15
2963,C,Ship,5,5,208,8,low,Male,39,2905,1,09-04-2022,17:37:49
2964,F,Ship,3,3,200,3,low,Male,46,2460,1,09-10-2022,10:05:46
2965,D,Ship,3,2,250,3,low,Female,37,2736,1,07-05-2022,9:31:22
2966,F,Ship,3,5,126,2,low,Female,29,1192,1,24-10-2022,12:56:24
2967,A,Ship,4,1,222,4,medium,Female,42,2762,1,27-03-2022,9:08:17
2968,B,Ship,6,2,236,4,low,Female,61,3140,1,22-06-2022,10:46:14
2969,C,Ship,4,3,165,3,low,Male,4,1484,1,12-05-2022,20:22:29
2970,F,Ship,3,4,162,3,low,Male,17,1700,1,18-11-2022,18:56:33
2971,D,Ship,4,3,184,3,low,Female,37,3436,1,10-09-2022,10:53:00
2972,F,Ship,5,3,145,2,medium,Male,6,1965,1,28-10-2022,8:32:54
2973,A,Ship,3,4,228,2,medium,Male,46,3306,1,15-05-2022,17:08:37
2974,B,Ship,5,3,213,2,high,Female,27,2581,1,18-07-2022,12:50:40
2975,C,Ship,2,3,146,3,medium,Male,18,1289,1,17-10-2022,20:32:45
2976,F,Ship,4,1,220,3,high,Male,2,3886,1,20-06-2022,19:46:23
2977,D,Ship,3,4,231,3,medium,Male,39,3792,1,26-02-2022,0:51:00
2978,F,Ship,3,4,212,8,low,Female,34,2750,1,05-03-2022,14:32:44
2979,A,Ship,4,5,202,3,low,Female,38,2651,1,15-04-2022,11:41:07
2980,B,Ship,5,2,208,8,low,Male,62,3450,1,02-08-2022,15:40:59
2981,C,Ship,3,3,200,3,low,Male,4,3791,1,06-05-2022,23:03:13
2982,F,Ship,3,1,250,3,low,Female,8,3617,1,22-08-2022,13:38:10
2983,D,Ship,3,5,126,2,low,Female,63,1141,1,30-06-2022,21:10:13
2984,F,Ship,4,3,222,4,medium,Male,49,3697,1,22-04-2022,9:18:48
2985,A,Ship,3,3,273,6,low,Male,6,1771,1,20-10-2022,9:45:24
2986,B,Ship,6,5,161,4,medium,Female,20,1338,1,16-08-2022,17:54:24
2987,C,Ship,5,1,236,3,medium,Female,10,1347,1,08-05-2022,19:42:13
2988,F,Road,6,3,281,5,medium,Female,8,1864,1,29-05-2022,18:09:04
2989,D,Road,5,3,168,4,low,Male,7,1298,1,25-10-2022,14:34:45
2990,F,Road,5,1,206,4,low,Male,62,1137,1,02-10-2022,9:35:21
2991,A,Road,4,1,144,4,high,Male,5,1294,1,14-04-2022,10:04:27
2992,B,Road,5,3,239,5,medium,Female,19,2988,1,11-03-2022,11:27:52
2993,C,Road,3,5,129,3,medium,Female,52,1513,1,29-04-2022,9:12:25
2994,F,Road,4,5,201,4,medium,Male,46,3498,1,13-03-2022,14:40:11
2995,D,Road,5,5,160,3,medium,Male,55,1911,1,24-09-2022,10:44:01
2996,F,Road,6,5,130,6,low,Female,60,1971,1,27-10-2022,14:04:06
2997,A,Road,3,1,132,4,medium,Male,58,1067,1,15-05-2022,11:20:05
2998,B,Road,4,2,185,4,medium,Female,36,2583,1,13-11-2022,12:36:19
2999,C,Road,5,1,271,4,low,Female,4,2718,1,26-11-2022,19:56:13
3000,F,Road,5,2,168,2,medium,Male,20,1539,1,03-09-2022,18:21:15
3001,D,Road,5,5,154,3,medium,Female,50,1389,1,03-12-2022,9:57:04
3002,F,Road,3,3,203,3,low,Male,4,3114,1,10-03-2022,11:29:28
3003,A,Road,3,1,274,3,low,Male,4,2087,1,18-12-2022,15:22:19
3004,B,Road,5,4,280,4,low,Female,19,3298,1,16-09-2022,21:10:02
3005,C,Road,4,5,196,2,low,Male,51,3151,1,04-06-2022,9:29:24
3006,F,Road,5,2,159,3,medium,Female,63,1675,1,30-01-2022,10:44:32
3007,D,Road,5,4,269,3,medium,Male,15,2522,1,28-03-2022,0:26:37
3008,F,Road,4,3,161,3,low,Female,52,1199,1,28-07-2022,19:40:29
3009,A,Road,3,1,159,2,medium,Female,44,1806,1,17-11-2022,12:41:18
3010,B,Flight,5,4,147,6,medium,Female,21,1145,1,27-05-2022,0:55:16
3011,C,Flight,3,3,214,2,medium,Female,4,3754,1,13-06-2022,12:41:19
3012,F,Flight,4,5,157,4,medium,Female,12,1038,1,06-04-2022,17:21:59
3013,D,Flight,5,5,147,2,medium,Male,19,1936,1,26-04-2022,12:59:04
3014,F,Flight,5,4,182,3,medium,Female,11,3545,1,18-05-2022,18:46:54
3015,A,Flight,3,5,188,2,low,Female,12,2711,1,08-03-2022,17:03:24
3016,B,Flight,3,1,104,2,low,Male,1,1021,1,06-11-2022,11:22:17
3017,C,Flight,5,5,195,3,low,Male,55,2641,1,13-02-2022,23:13:16
3018,F,Flight,4,1,235,2,high,Male,64,2107,1,23-05-2022,8:18:32
3019,D,Flight,4,5,219,2,medium,Female,21,3830,1,22-12-2022,17:11:15
3020,F,Flight,4,5,253,2,low,Female,36,3389,1,18-02-2022,23:11:47
3021,A,Flight,3,3,253,4,medium,Female,57,2489,1,04-08-2022,21:43:29
3022,B,Flight,4,1,167,3,low,Male,42,1197,1,03-10-2022,10:28:43
3023,C,Flight,4,2,211,2,low,Female,39,2520,1,12-02-2022,20:38:53
3024,F,Flight,3,4,155,3,medium,Male,4,1548,1,13-09-2022,20:57:58
3025,D,Flight,6,1,231,4,medium,Female,23,2455,1,17-07-2022,10:27:37
3026,F,Flight,5,4,182,4,low,Male,61,3063,1,06-03-2022,0:06:51
3027,A,Flight,3,5,212,2,medium,Male,56,3547,1,11-05-2022,9:58:44
3028,B,Flight,3,1,107,3,high,Female,13,1861,1,25-04-2022,8:05:08
3029,C,Flight,5,2,172,4,high,Female,61,1161,1,15-10-2022,17:52:57
3030,F,Flight,3,2,224,3,low,Male,40,2180,1,11-07-2022,15:45:51
3031,D,Flight,3,4,209,3,high,Female,37,3650,1,21-01-2022,12:35:40
3032,F,Ship,4,5,268,2,medium,Male,46,3076,1,05-01-2022,17:11:49
3033,A,Ship,3,2,141,4,low,Male,9,1909,1,14-06-2022,22:46:04
3034,B,Ship,4,4,260,2,low,Male,17,3068,1,17-06-2022,18:57:58
3035,C,Ship,5,4,151,4,medium,Male,10,1441,1,30-06-2022,10:22:57
3036,F,Ship,5,2,184,2,medium,Male,27,3276,1,28-11-2022,18:04:17
3037,D,Ship,5,1,270,3,high,Male,52,3908,1,12-03-2022,17:52:38
3038,F,Ship,5,4,135,2,medium,Female,20,1908,1,07-06-2022,14:08:32
3039,A,Ship,4,3,276,4,low,Female,3,3889,1,05-02-2022,12:48:49
3040,B,Ship,4,4,177,3,medium,Male,23,1142,1,09-12-2022,8:23:05
3041,C,Ship,3,2,149,3,medium,Female,64,1920,1,08-05-2022,13:37:09
3042,F,Ship,4,3,220,4,low,Male,19,3602,1,26-09-2022,14:56:40
3043,D,Ship,4,5,267,3,low,Female,53,3742,1,18-08-2022,21:52:42
3044,F,Ship,3,2,274,3,medium,Female,50,3958,1,07-12-2022,14:50:20
3045,A,Ship,4,4,243,3,low,Male,10,3327,1,02-12-2022,9:30:33
3046,B,Ship,5,1,166,2,low,Male,44,1647,1,20-03-2022,4:52:44
3047,C,Ship,5,2,225,3,medium,Male,1,2049,1,26-03-2022,15:58:42
3048,F,Ship,3,3,138,2,medium,Female,40,1117,1,20-06-2022,15:47:45
3049,D,Ship,4,3,141,4,medium,Female,38,1599,1,14-11-2022,19:39:04
3050,F,Ship,3,4,271,4,medium,Female,16,2693,1,14-04-2022,11:33:24
3051,A,Ship,6,5,243,3,medium,Female,35,2374,1,06-11-2022,10:11:21
3052,B,Ship,3,3,231,3,medium,Male,53,2333,1,27-05-2022,11:19:04
3053,C,Ship,5,4,168,3,low,Male,34,1779,1,20-12-2022,15:06:42
3054,F,Ship,5,3,264,2,low,Female,61,2025,1,14-04-2022,16:57:27
3055,D,Ship,4,3,233,3,medium,Male,26,2624,1,12-12-2022,9:48:20
3056,F,Ship,4,2,247,5,medium,Female,17,3630,1,29-06-2022,9:59:36
3057,A,Ship,3,4,176,3,low,Female,4,1095,1,28-09-2022,18:25:16
3058,B,Ship,5,5,257,4,medium,Male,31,2040,1,11-09-2022,12:34:56
3059,C,Ship,3,1,147,4,low,Male,18,1613,1,26-12-2022,18:01:40
3060,F,Ship,5,5,195,2,low,Female,6,3936,1,28-08-2022,19:46:26
3061,D,Ship,2,4,153,2,medium,Female,57,1264,1,27-04-2022,11:05:58
3062,F,Ship,3,5,237,4,low,Male,28,3903,1,08-05-2022,14:09:32
3063,A,Ship,6,4,217,5,low,Female,7,3725,1,07-01-2022,10:38:35
3064,B,Ship,5,1,140,4,medium,Male,48,1322,1,08-01-2022,11:39:39
3065,C,Ship,2,5,164,4,medium,Male,2,1439,1,05-02-2022,11:07:35
3066,F,Ship,3,3,243,3,medium,Female,27,2052,1,06-11-2022,13:26:46
3067,D,Ship,3,4,158,3,high,Male,41,1137,1,30-06-2022,16:16:45
3068,F,Ship,5,5,180,4,high,Male,10,1200,1,02-03-2022,20:09:30
3069,A,Ship,4,3,139,3,low,Male,64,1814,1,17-03-2022,1:00:48
3070,B,Ship,4,4,162,2,medium,Male,8,1386,1,03-01-2022,21:30:44
3071,C,Ship,5,3,206,4,low,Male,18,3104,1,26-08-2022,14:09:33
3072,F,Ship,3,2,238,2,low,Male,19,2196,1,23-03-2022,18:41:40
3073,D,Ship,5,3,254,2,medium,Male,4,3297,1,21-06-2022,17:28:33
3074,F,Ship,5,3,270,3,medium,Male,38,3669,1,15-09-2022,11:59:06
3075,A,Ship,3,2,255,2,low,Male,18,3732,1,24-04-2022,23:12:50
3076,B,Ship,4,4,182,2,low,Female,13,3332,1,07-11-2022,16:45:26
3077,C,Ship,3,3,149,2,medium,Male,7,1145,1,02-05-2022,23:21:16
3078,F,Ship,4,1,221,5,medium,Male,22,3075,1,14-07-2022,13:10:50
3079,D,Ship,4,5,135,2,low,Male,60,1026,1,19-05-2022,20:15:00
3080,F,Ship,3,1,188,2,low,Female,14,2074,1,23-11-2022,13:58:50
3081,A,Ship,5,5,194,3,low,Male,47,2256,1,15-10-2022,19:24:37
3082,B,Ship,4,3,134,2,medium,Female,29,1010,1,06-04-2022,20:23:42
3083,C,Ship,3,4,210,2,medium,Male,29,3142,1,30-12-2022,16:27:56
3084,F,Ship,4,2,169,2,low,Male,22,1322,1,13-09-2022,7:50:12
3085,D,Ship,3,3,147,2,low,Female,52,1040,1,20-08-2022,10:33:58
3086,F,Ship,4,1,213,3,low,Female,21,3585,1,05-11-2022,14:47:02
3087,A,Ship,3,2,223,2,low,Male,64,3595,1,30-06-2022,17:08:13
3088,B,Ship,4,1,233,2,medium,Female,60,2671,1,07-11-2022,8:40:31
3089,C,Ship,4,2,218,2,high,Male,1,2990,1,02-11-2022,12:29:52
3090,F,Ship,4,5,219,3,medium,Male,27,3684,1,04-11-2022,3:06:27
3091,D,Ship,3,2,145,2,low,Female,44,1212,1,29-04-2022,23:02:28
3092,F,Ship,3,3,257,3,low,Male,44,3370,1,08-04-2022,12:09:31
3093,A,Ship,3,1,238,6,medium,Female,59,3375,1,27-07-2022,21:30:56
3094,B,Ship,4,1,145,6,low,Male,32,1673,1,07-11-2022,18:45:30
3095,C,Ship,4,4,243,3,low,Female,36,2111,1,30-05-2022,15:31:29
3096,F,Ship,4,4,179,2,low,Male,18,1369,1,15-03-2022,23:05:43
3097,D,Ship,2,3,188,2,high,Male,25,2033,1,18-06-2022,11:21:37
3098,F,Ship,4,4,168,3,medium,Male,53,1782,1,27-03-2022,21:34:00
3099,A,Ship,5,4,157,4,low,Male,58,1252,1,10-02-2022,7:09:18
3100,B,Ship,3,4,172,3,low,Male,32,1943,1,16-05-2022,13:29:40
3101,C,Ship,5,1,195,3,low,Male,37,3690,1,30-03-2022,13:46:14
3102,F,Ship,3,2,225,3,low,Female,59,3488,1,11-06-2022,18:05:35
3103,D,Ship,3,3,227,2,medium,Female,24,2749,1,19-03-2022,23:00:42
3104,F,Ship,3,5,159,3,low,Male,46,1857,1,26-07-2022,20:49:07
3105,A,Ship,2,2,273,3,low,Male,56,2633,1,05-03-2022,14:10:07
3106,B,Ship,5,2,214,6,low,Female,3,3234,1,30-11-2022,14:24:18
3107,C,Ship,4,2,175,3,medium,Female,34,1005,1,15-12-2022,17:33:38
3108,F,Ship,3,5,213,2,low,Female,39,2857,1,19-08-2022,6:54:22
3109,D,Ship,4,3,190,4,medium,Male,12,3115,1,12-04-2022,18:56:02
3110,F,Ship,4,2,265,4,medium,Female,40,2637,1,25-09-2022,10:52:10
3111,A,Ship,4,4,146,4,low,Male,12,1899,1,04-12-2022,10:37:13
3112,B,Ship,5,4,229,2,medium,Female,44,2419,1,19-07-2022,18:32:43
3113,C,Ship,3,5,195,3,medium,Female,47,2439,1,28-09-2022,16:28:03
3114,F,Ship,2,5,151,3,low,Male,34,1652,1,11-03-2022,23:10:16
3115,D,Ship,4,2,217,3,low,Male,1,3133,1,07-09-2022,13:26:51
3116,F,Ship,4,4,134,3,low,Female,14,1716,1,10-11-2022,9:56:58
3117,A,Ship,3,5,195,2,low,Female,42,3814,1,28-01-2022,8:28:41
3118,B,Ship,4,3,142,4,low,Male,29,1420,1,08-11-2022,13:24:36
3119,C,Ship,2,4,182,4,medium,Male,1,3624,1,26-11-2022,13:23:23
3120,F,Ship,4,2,155,5,low,Female,48,1043,1,25-07-2022,10:57:54
3121,D,Ship,3,5,238,2,medium,Female,34,2726,1,03-11-2022,19:00:56
3122,F,Ship,4,1,182,3,medium,Female,49,3198,1,16-02-2022,9:00:56
3123,A,Ship,4,1,237,4,medium,Female,22,2231,1,12-10-2022,21:00:18
3124,B,Ship,4,4,222,3,low,Female,24,3503,1,18-09-2022,16:08:49
3125,C,Road,5,4,177,2,medium,Female,45,1664,1,25-10-2022,21:13:29
3126,F,Road,4,4,197,3,medium,Female,41,3280,1,28-07-2022,17:03:33
3127,D,Road,3,1,224,3,low,Female,48,3672,1,07-05-2022,13:00:22
3128,F,Road,3,3,193,2,low,Male,19,3097,1,27-08-2022,15:42:55
3129,A,Road,3,1,169,3,high,Male,24,1740,1,01-08-2022,20:59:12
3130,B,Road,3,4,248,2,medium,Female,15,2983,1,26-01-2022,13:43:41
3131,C,Road,6,5,246,4,medium,Male,50,3618,1,20-06-2022,11:38:30
3132,F,Road,4,1,232,3,medium,Male,55,2686,1,20-07-2022,23:03:33
3133,D,Road,3,5,251,3,low,Female,21,2476,1,01-11-2022,13:52:56
3134,F,Road,3,4,163,3,medium,Male,58,1443,1,21-11-2022,19:49:42
3135,A,Road,6,4,201,2,low,Male,4,5916,1,26-09-2022,1:01:39
3136,B,Road,6,5,141,3,medium,Male,8,5031,0,04-10-2022,11:16:53
3137,C,Road,3,3,219,3,low,Male,4,5956,0,20-11-2022,3:21:20
3138,F,Road,4,3,161,3,high,Male,7,4245,0,16-11-2022,13:12:14
3139,D,Road,4,5,225,4,medium,Male,5,4622,0,21-05-2022,9:02:27
3140,F,Road,5,3,277,3,medium,Male,1,4186,1,11-10-2022,10:26:21
3141,A,Road,3,3,256,4,medium,Male,3,4732,0,30-03-2022,19:28:24
3142,B,Road,6,2,153,5,low,Female,1,4597,1,17-12-2022,3:08:01
3143,C,Road,4,4,135,3,low,Female,4,4651,1,25-04-2022,9:06:15
3144,F,Road,3,3,253,3,medium,Male,7,5085,0,12-08-2022,17:31:43
3145,D,Road,4,5,139,3,low,Male,5,5335,0,11-09-2022,16:59:22
3146,F,Road,3,5,136,2,high,Female,1,4971,0,07-11-2022,14:10:05
3147,A,Flight,4,1,172,3,medium,Male,7,4883,0,24-12-2022,12:25:44
3148,B,Flight,4,2,272,3,high,Female,6,4559,0,20-12-2022,15:20:59
3149,C,Flight,3,3,207,3,high,Male,1,5632,1,13-10-2022,15:50:59
3150,F,Flight,2,3,134,3,low,Male,4,5958,0,14-11-2022,18:54:04
3151,D,Flight,3,3,238,8,medium,Female,3,4943,0,17-07-2022,23:35:22
3152,F,Flight,2,4,274,10,high,Male,3,4167,1,16-11-2022,17:41:35
3153,A,Flight,4,2,237,6,low,Female,8,5695,0,21-09-2022,15:10:45
3154,B,Flight,3,2,153,10,high,Male,2,5455,0,10-05-2022,8:40:32
3155,C,Flight,4,1,223,3,low,Female,8,4974,1,07-11-2022,21:53:39
3156,F,Flight,3,4,149,3,low,Male,1,5040,1,07-12-2022,17:50:02
3157,D,Flight,3,5,132,3,low,Male,7,4013,1,20-07-2022,13:26:04
3158,F,Flight,4,2,246,3,low,Female,7,5616,0,24-05-2022,16:43:06
3159,A,Flight,4,2,159,5,low,Female,4,5547,1,06-11-2022,0:52:30
3160,B,Flight,3,1,162,8,high,Female,10,5429,0,30-01-2022,23:55:00
3161,C,Flight,3,3,123,5,medium,Female,5,4292,0,24-04-2022,13:33:20
3162,F,Flight,5,1,231,7,high,Female,9,5558,0,08-06-2022,12:11:29
3163,D,Flight,3,1,213,10,medium,Male,9,4862,0,29-06-2022,21:03:16
3164,F,Flight,5,2,160,3,high,Male,1,5834,0,14-11-2022,21:02:48
3165,A,Flight,4,4,225,5,low,Male,5,5060,1,14-07-2022,12:56:31
3166,B,Flight,3,1,178,3,low,Male,3,4811,0,21-06-2022,22:20:52
3167,C,Flight,4,1,273,3,medium,Male,5,5055,0,13-01-2022,12:37:49
3168,F,Flight,3,2,129,3,high,Male,9,4342,1,20-10-2022,8:57:50
3169,D,Ship,3,1,273,6,low,Female,9,1198,1,09-05-2022,12:22:51
3170,F,Ship,6,3,161,4,medium,Male,8,1247,0,02-11-2022,20:27:24
3171,A,Ship,4,5,139,3,low,Female,3,5824,1,10-05-2022,12:06:38
3172,B,Ship,3,2,136,2,high,Female,6,4002,1,03-05-2022,7:24:46
3173,C,Ship,4,4,172,3,medium,Female,1,4201,0,07-04-2022,17:30:39
3174,F,Ship,4,2,272,3,high,Male,7,5927,0,04-06-2022,16:54:54
3175,D,Ship,3,2,207,3,high,Female,3,4909,1,06-05-2022,2:04:47
3176,F,Ship,2,3,134,3,low,Male,6,4444,1,24-04-2022,19:51:55
3177,A,Ship,3,2,238,8,medium,Male,3,4388,1,21-03-2022,14:45:24
3178,B,Ship,2,1,274,10,high,Female,1,5622,0,19-03-2022,15:55:46
3179,C,Ship,4,3,237,6,low,Male,8,5588,0,16-05-2022,18:10:37
3180,F,Ship,3,2,153,10,high,Female,7,5305,0,28-07-2022,10:29:15
3181,D,Ship,4,2,223,3,low,Male,7,4026,1,11-11-2022,19:25:27
3182,F,Ship,3,5,149,3,low,Female,9,5412,0,24-07-2022,19:19:18
3183,A,Ship,3,3,132,3,low,Male,6,5721,1,17-11-2022,13:19:30
3184,B,Ship,4,3,246,3,low,Female,5,4710,0,17-07-2022,18:19:50
3185,C,Ship,4,3,159,5,low,Male,4,4666,1,04-05-2022,15:20:54
3186,F,Ship,3,3,162,8,high,Female,10,4842,0,17-10-2022,11:16:11
3187,D,Ship,3,1,123,5,medium,Female,10,4231,0,26-01-2022,10:30:47
3188,F,Ship,5,5,231,7,high,Male,6,5755,0,11-07-2022,21:23:14
3189,A,Ship,3,3,213,10,medium,Male,2,4847,0,18-09-2022,20:33:32
3190,B,Ship,5,1,160,3,high,Male,2,5141,1,19-06-2022,12:09:56
3191,C,Ship,4,3,225,5,low,Male,8,4195,0,01-12-2022,23:08:25
3192,F,Ship,3,5,178,3,low,Female,3,5540,0,06-07-2022,18:37:58
3193,D,Ship,4,5,273,3,medium,Male,2,4374,0,15-05-2022,16:13:39
3194,F,Ship,3,3,129,3,high,Male,7,5197,1,01-03-2022,11:10:55
3195,A,Ship,3,1,273,6,low,Male,1,1293,0,27-04-2022,10:29:23
3196,B,Ship,6,4,161,4,medium,Male,3,1747,1,10-11-2022,20:18:50
3197,C,Ship,5,2,206,4,low,Male,5,1149,0,02-10-2022,16:17:33
3198,F,Ship,4,5,296,2,medium,Male,1,1678,0,16-11-2022,12:46:48
3199,D,Ship,3,2,249,5,medium,Female,6,1887,0,22-04-2022,21:12:44
3200,F,Ship,4,4,301,5,low,Male,6,1931,0,11-09-2022,22:47:02
3201,A,Ship,4,3,296,3,low,Male,4,1991,0,27-06-2022,20:56:12
3202,B,Ship,3,5,205,4,low,Male,2,1648,0,09-08-2022,10:47:01
3203,C,Ship,3,3,132,2,low,Female,9,4355,1,19-06-2022,11:37:49
3204,F,Ship,4,2,223,3,high,Male,5,4282,0,04-05-2022,11:09:54
3205,D,Ship,3,1,190,3,medium,Female,2,4312,0,13-02-2022,20:23:41
3206,F,Ship,5,3,194,3,low,Female,1,4331,0,16-12-2022,17:55:29
3207,A,Ship,2,4,176,2,medium,Female,2,5138,0,21-09-2022,15:10:55
3208,B,Ship,6,4,227,5,medium,Female,8,4388,0,15-09-2022,17:06:36
3209,C,Ship,5,1,149,2,low,Male,9,5435,0,16-12-2022,21:22:05
3210,F,Ship,5,2,173,2,low,Male,7,5836,0,27-11-2022,19:39:33
3211,D,Ship,3,2,181,2,low,Female,6,5410,0,27-12-2022,16:27:51
3212,F,Ship,3,5,251,2,low,Male,4,4015,0,21-10-2022,16:40:23
3213,A,Ship,4,5,243,3,low,Female,2,4909,0,28-08-2022,13:15:20
3214,B,Ship,3,4,210,3,low,Male,10,4398,1,12-06-2022,15:02:58
3215,C,Ship,5,2,145,4,medium,Female,9,4028,0,04-08-2022,18:28:36
3216,F,Ship,3,1,196,3,low,Male,10,4546,0,23-05-2022,8:51:27
3217,D,Ship,3,4,154,2,medium,Male,5,5735,1,11-06-2022,19:36:51
3218,F,Ship,4,1,164,4,low,Male,6,4432,1,24-12-2022,13:56:44
3219,A,Ship,4,2,210,3,medium,Female,1,4379,1,14-05-2022,15:42:44
3220,B,Ship,5,3,212,2,low,Female,7,5219,0,08-01-2022,19:34:49
3221,C,Ship,3,1,263,2,medium,Male,9,4868,1,10-09-2022,17:23:43
3222,F,Ship,3,4,155,2,low,Male,3,5481,1,06-05-2022,19:50:08
3223,D,Ship,3,4,223,2,low,Male,9,4211,0,04-12-2022,18:31:38
3224,F,Ship,5,4,269,3,low,Female,3,4489,0,05-03-2022,0:06:40
3225,A,Ship,3,4,117,3,low,Female,6,4046,0,11-07-2022,1:50:33
3226,B,Ship,4,4,151,2,low,Male,3,4105,1,16-06-2022,14:24:22
3227,C,Ship,4,2,271,3,medium,Male,4,4743,1,06-11-2022,14:44:25
3228,F,Ship,3,3,205,3,low,Male,10,5714,0,07-11-2022,21:41:19
3229,D,Ship,5,3,210,5,medium,Male,9,5431,1,11-04-2022,20:24:57
3230,F,Ship,4,1,133,2,medium,Male,8,4277,0,21-06-2022,18:37:21
3231,A,Ship,5,2,215,6,medium,Female,5,5195,1,06-04-2022,23:01:26
3232,B,Ship,2,3,140,3,low,Female,2,4691,0,07-12-2022,14:07:47
3233,C,Ship,3,3,255,2,low,Male,8,5955,1,26-07-2022,16:55:46
3234,F,Ship,2,5,159,3,low,Male,5,4190,0,23-07-2022,15:08:01
3235,D,Ship,5,3,169,2,low,Male,8,5352,1,30-09-2022,13:54:32
3236,F,Ship,5,4,182,2,medium,Male,2,4554,1,11-08-2022,11:13:55
3237,A,Ship,2,5,231,2,low,Female,10,4406,1,19-11-2022,22:45:16
3238,B,Ship,3,4,177,3,low,Female,6,4445,0,22-07-2022,20:27:10
3239,C,Ship,4,3,250,3,medium,Female,3,5055,1,19-09-2022,10:15:03
3240,F,Ship,4,2,145,3,medium,Female,4,5122,1,19-11-2022,14:19:27
3241,D,Ship,2,5,117,3,high,Female,2,4268,1,09-05-2022,2:19:25
3242,F,Ship,3,4,170,3,low,Male,5,4716,1,19-12-2022,17:53:45
3243,A,Ship,4,4,173,3,high,Female,9,5382,1,12-09-2022,18:49:13
3244,B,Ship,4,2,232,3,medium,Male,8,4658,1,05-10-2022,21:54:42
3245,C,Ship,3,2,231,4,medium,Male,4,5510,0,16-11-2022,8:36:41
3246,F,Ship,3,4,136,3,medium,Male,2,4524,1,08-09-2022,13:05:27
3247,D,Ship,4,1,189,3,medium,Male,5,4496,1,10-11-2022,17:15:07
3248,F,Ship,5,4,222,3,low,Male,7,5340,0,11-06-2022,12:06:33
3249,A,Ship,4,3,148,3,high,Female,7,5034,1,18-05-2022,13:56:53
3250,B,Ship,5,2,265,2,medium,Female,7,5464,1,05-10-2022,13:40:45
3251,C,Ship,4,1,181,2,low,Female,3,5877,0,18-02-2022,19:35:11
3252,F,Ship,6,5,189,2,high,Male,4,5898,1,15-08-2022,16:56:38
3253,D,Ship,3,2,160,3,medium,Female,6,4808,1,12-02-2022,16:04:11
3254,F,Ship,3,3,235,3,medium,Female,10,4186,0,03-08-2022,17:03:44
3255,A,Ship,3,4,100,3,medium,Male,4,4191,0,08-01-2022,21:38:21
